height1,weight1,reach1,stance1,age1,slpm1,str_acc1,sapm1,str_def1,td_avg1,td_acc1,td_def1,sub_avg1,height2,weight2,reach2,stance2,age2,slpm2,str_acc2,sapm2,str_def2,td_avg2,td_acc2,td_def2,sub_avg2,result
0,0,0,0,25,5.62,49,3.31,0,1.09,41,89,0.0,0,0,0,0,25,3.15,48,3.64,0,2.12,37,53,0.5,1
0,0,0,0,25,3.15,48,3.64,0,2.12,37,53,0.5,0,0,0,0,25,5.62,49,3.31,0,1.09,41,89,0.0,0
0,0,0,0,25,3.53,46,2.38,0,0.0,0,50,0.0,0,0,0,0,25,5.27,49,4.29,0,0.36,23,62,0.4,1
0,0,0,0,25,5.27,49,4.29,0,0.36,23,62,0.4,0,0,0,0,25,3.53,46,2.38,0,0.0,0,50,0.0,0
0,0,0,0,25,2.59,46,2.89,0,0.75,66,33,0.0,0,0,0,0,25,3.14,45,3.14,0,2.26,41,46,1.3,1
0,0,0,0,25,3.14,45,3.14,0,2.26,41,46,1.3,0,0,0,0,25,2.59,46,2.89,0,0.75,66,33,0.0,0
0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,1
0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0
0,0,0,0,25,5.6,45,6.19,0,0.71,50,50,0.5,0,0,0,0,25,1.49,48,1.38,0,3.44,66,0,1.7,1
0,0,0,0,25,1.49,48,1.38,0,3.44,66,0,1.7,0,0,0,0,25,5.6,45,6.19,0,0.71,50,50,0.5,0
0,0,0,0,25,5.67,55,3.91,0,1.83,32,62,0.0,0,0,0,0,25,2.48,42,4.08,0,1.31,35,52,1.1,1
0,0,0,0,25,2.48,42,4.08,0,1.31,35,52,1.1,0,0,0,0,25,5.67,55,3.91,0,1.83,32,62,0.0,0
0,0,0,0,25,7.49,67,3.46,0,2.51,42,66,1.7,0,0,0,0,25,4.82,43,6.06,0,3.24,55,46,0.7,1
0,0,0,0,25,4.82,43,6.06,0,3.24,55,46,0.7,0,0,0,0,25,7.49,67,3.46,0,2.51,42,66,1.7,0
0,0,0,0,25,3.69,52,3.4,0,1.91,50,83,1.3,0,0,0,0,25,1.68,43,1.42,0,1.53,36,58,0.4,1
0,0,0,0,25,1.68,43,1.42,0,1.53,36,58,0.4,0,0,0,0,25,3.69,52,3.4,0,1.91,50,83,1.3,0
0,0,0,0,25,4.59,50,3.04,0,1.19,36,67,0.8,0,0,0,0,25,3.41,53,3.26,0,0.46,60,53,0.0,1
0,0,0,0,25,3.41,53,3.26,0,0.46,60,53,0.0,0,0,0,0,25,4.59,50,3.04,0,1.19,36,67,0.8,0
0,0,0,0,25,4.27,46,3.29,0,1.9,33,100,2.9,0,0,0,0,25,3.83,45,3.5,0,1.56,21,65,0.2,1
0,0,0,0,25,3.83,45,3.5,0,1.56,21,65,0.2,0,0,0,0,25,4.27,46,3.29,0,1.9,33,100,2.9,0
0,0,0,0,25,4.78,48,3.48,0,0.54,13,62,0.1,0,0,0,0,25,3.29,39,4.06,0,2.33,37,71,0.2,1
0,0,0,0,25,3.29,39,4.06,0,2.33,37,71,0.2,0,0,0,0,25,4.78,48,3.48,0,0.54,13,62,0.1,0
0,0,0,0,25,6.84,52,4.53,0,0.16,11,69,0.2,0,0,0,0,25,4.46,43,3.78,0,2.24,38,90,0.1,1
0,0,0,0,25,4.46,43,3.78,0,2.24,38,90,0.1,0,0,0,0,25,6.84,52,4.53,0,0.16,11,69,0.2,0
0,0,0,0,25,3.14,52,2.06,0,2.62,60,75,0.3,0,0,0,0,25,5.58,41,3.59,0,1.06,29,87,0.0,1
0,0,0,0,25,5.58,41,3.59,0,1.06,29,87,0.0,0,0,0,0,25,3.14,52,2.06,0,2.62,60,75,0.3,0
0,0,0,0,25,4.42,46,4.13,0,0.14,14,83,0.0,0,0,0,0,25,3.65,46,3.81,0,0.47,51,92,0.1,1
0,0,0,0,25,3.65,46,3.81,0,0.47,51,92,0.1,0,0,0,0,25,4.42,46,4.13,0,0.14,14,83,0.0,0
0,0,0,0,25,5.04,46,2.46,0,0.34,25,92,0.0,0,0,0,0,25,4.11,41,3.73,0,0.41,35,54,0.6,1
0,0,0,0,25,4.11,41,3.73,0,0.41,35,54,0.6,0,0,0,0,25,5.04,46,2.46,0,0.34,25,92,0.0,0
0,0,0,0,25,5.39,55,4.61,0,4.19,39,70,1.5,0,0,0,0,25,2.87,35,5.19,0,0.0,0,40,0.0,1
0,0,0,0,25,2.87,35,5.19,0,0.0,0,40,0.0,0,0,0,0,25,5.39,55,4.61,0,4.19,39,70,1.5,0
0,0,0,0,25,4.09,47,2.96,0,2.08,56,16,0.7,0,0,0,0,25,3.11,49,3.66,0,0.49,12,100,0.0,1
0,0,0,0,25,3.11,49,3.66,0,0.49,12,100,0.0,0,0,0,0,25,4.09,47,2.96,0,2.08,56,16,0.7,0
0,0,0,0,25,3.71,45,3.63,0,2.61,44,75,0.6,0,0,0,0,25,6.39,50,5.49,0,2.21,54,71,0.3,1
0,0,0,0,25,6.39,50,5.49,0,2.21,54,71,0.3,0,0,0,0,25,3.71,45,3.63,0,2.61,44,75,0.6,0
0,0,0,0,25,3.26,42,4.07,0,0.31,66,77,0.2,0,0,0,0,25,4.26,43,3.34,0,3.77,49,75,0.1,1
0,0,0,0,25,4.26,43,3.34,0,3.77,49,75,0.1,0,0,0,0,25,3.26,42,4.07,0,0.31,66,77,0.2,0
0,0,0,0,25,6.43,52,2.49,0,1.2,30,78,0.0,0,0,0,0,25,2.5,44,5.17,0,0.5,20,64,0.0,1
0,0,0,0,25,2.5,44,5.17,0,0.5,20,64,0.0,0,0,0,0,25,6.43,52,2.49,0,1.2,30,78,0.0,0
0,0,0,0,25,6.02,47,5.57,0,0.21,25,67,0.1,0,0,0,0,25,3.86,48,5.35,0,0.77,22,74,0.0,1
0,0,0,0,25,3.86,48,5.35,0,0.77,22,74,0.0,0,0,0,0,25,6.02,47,5.57,0,0.21,25,67,0.1,0
0,0,0,0,25,4.74,40,4.96,0,3.03,39,73,0.0,0,0,0,0,25,3.38,49,3.82,0,0.63,66,72,0.3,1
0,0,0,0,25,3.38,49,3.82,0,0.63,66,72,0.3,0,0,0,0,25,4.74,40,4.96,0,3.03,39,73,0.0,0
0,0,0,0,25,0.68,40,4.29,0,0.0,0,0,0.0,0,0,0,0,25,4.81,52,4.75,0,1.86,34,61,0.0,1
0,0,0,0,25,4.81,52,4.75,0,1.86,34,61,0.0,0,0,0,0,25,0.68,40,4.29,0,0.0,0,0,0.0,0
0,0,0,0,25,5.06,45,3.34,0,1.28,34,63,0.3,0,0,0,0,25,2.82,54,3.64,0,1.69,35,58,1.4,1
0,0,0,0,25,2.82,54,3.64,0,1.69,35,58,1.4,0,0,0,0,25,5.06,45,3.34,0,1.28,34,63,0.3,0
0,0,0,0,25,3.25,60,2.21,0,4.74,38,66,1.4,0,0,0,0,25,2.36,59,2.11,0,3.34,53,100,2.9,1
0,0,0,0,25,2.36,59,2.11,0,3.34,53,100,2.9,0,0,0,0,25,3.25,60,2.21,0,4.74,38,66,1.4,0
0,0,0,0,25,7.39,48,5.39,0,0.55,54,63,0.1,0,0,0,0,25,4.78,41,4.68,0,0.6,27,71,0.0,1
0,0,0,0,25,4.78,41,4.68,0,0.6,27,71,0.0,0,0,0,0,25,7.39,48,5.39,0,0.55,54,63,0.1,0
0,0,0,0,25,3.22,53,1.39,0,3.24,62,68,0.4,0,0,0,0,25,5.11,53,3.88,0,0.99,46,84,0.0,1
0,0,0,0,25,5.11,53,3.88,0,0.99,46,84,0.0,0,0,0,0,25,3.22,53,1.39,0,3.24,62,68,0.4,0
0,0,0,0,25,4.49,39,4.26,0,1.58,25,20,1.3,0,0,0,0,25,5.1,39,4.13,0,0.0,0,57,0.0,1
0,0,0,0,25,5.1,39,4.13,0,0.0,0,57,0.0,0,0,0,0,25,4.49,39,4.26,0,1.58,25,20,1.3,0
0,0,0,0,25,5.56,41,4.46,0,4.24,52,80,0.0,0,0,0,0,25,3.15,40,3.14,0,1.11,38,62,0.4,1
0,0,0,0,25,3.15,40,3.14,0,1.11,38,62,0.4,0,0,0,0,25,5.56,41,4.46,0,4.24,52,80,0.0,0
0,0,0,0,25,4.42,58,3.07,0,0.87,50,53,0.1,0,0,0,0,25,2.62,44,3.05,0,1.97,30,56,1.2,1
0,0,0,0,25,2.62,44,3.05,0,1.97,30,56,1.2,0,0,0,0,25,4.42,58,3.07,0,0.87,50,53,0.1,0
0,0,0,0,25,7.59,61,4.48,0,2.59,33,100,0.0,0,0,0,0,25,5.76,71,2.51,0,1.57,14,100,1.6,1
0,0,0,0,25,5.76,71,2.51,0,1.57,14,100,1.6,0,0,0,0,25,7.59,61,4.48,0,2.59,33,100,0.0,0
0,0,0,0,25,2.86,48,2.86,0,2.74,40,41,0.9,0,0,0,0,25,4.51,46,3.01,0,0.27,50,61,0.3,1
0,0,0,0,25,4.51,46,3.01,0,0.27,50,61,0.3,0,0,0,0,25,2.86,48,2.86,0,2.74,40,41,0.9,0
0,0,0,0,25,2.7,37,4.53,0,3.15,35,100,0.5,0,0,0,0,25,3.28,49,2.4,0,0.66,100,42,0.0,1
0,0,0,0,25,3.28,49,2.4,0,0.66,100,42,0.0,0,0,0,0,25,2.7,37,4.53,0,3.15,35,100,0.5,0
0,0,0,0,25,3.74,59,2.94,0,4.42,66,100,0.6,0,0,0,0,25,3.22,43,3.61,0,0.59,38,46,0.0,1
0,0,0,0,25,3.22,43,3.61,0,0.59,38,46,0.0,0,0,0,0,25,3.74,59,2.94,0,4.42,66,100,0.6,0
0,0,0,0,25,2.73,44,3.78,0,2.2,38,44,1.3,0,0,0,0,25,1.91,41,2.05,0,2.12,38,61,0.8,1
0,0,0,0,25,1.91,41,2.05,0,2.12,38,61,0.8,0,0,0,0,25,2.73,44,3.78,0,2.2,38,44,1.3,0
0,0,0,0,25,4.77,54,2.77,0,1.02,33,73,0.4,0,0,0,0,25,3.6,54,4.79,0,0.25,100,83,0.0,1
0,0,0,0,25,3.6,54,4.79,0,0.25,100,83,0.0,0,0,0,0,25,4.77,54,2.77,0,1.02,33,73,0.4,0
0,0,0,0,25,10.91,64,4.55,0,0.0,0,50,0.0,0,0,0,0,25,3.19,49,5.04,0,0.44,22,50,0.6,1
0,0,0,0,25,3.19,49,5.04,0,0.44,22,50,0.6,0,0,0,0,25,10.91,64,4.55,0,0.0,0,50,0.0,0
0,0,0,0,25,5.24,50,4.73,0,1.08,30,52,0.5,0,0,0,0,25,3.82,42,3.48,0,0.19,33,65,0.2,1
0,0,0,0,25,3.82,42,3.48,0,0.19,33,65,0.2,0,0,0,0,25,5.24,50,4.73,0,1.08,30,52,0.5,0
0,0,0,0,25,3.21,48,3.68,0,2.65,57,100,0.2,0,0,0,0,25,4.5,52,4.33,0,1.14,52,76,0.7,1
0,0,0,0,25,4.5,52,4.33,0,1.14,52,76,0.7,0,0,0,0,25,3.21,48,3.68,0,2.65,57,100,0.2,0
0,0,0,0,25,4.47,47,3.26,0,0.79,39,73,0.6,0,0,0,0,25,4.05,43,3.69,0,0.98,27,58,0.1,1
0,0,0,0,25,4.05,43,3.69,0,0.98,27,58,0.1,0,0,0,0,25,4.47,47,3.26,0,0.79,39,73,0.6,0
0,0,0,0,25,7.76,62,5.78,0,1.14,33,100,1.1,0,0,0,0,25,2.04,49,2.33,0,4.02,49,35,1.2,1
0,0,0,0,25,2.04,49,2.33,0,4.02,49,35,1.2,0,0,0,0,25,7.76,62,5.78,0,1.14,33,100,1.1,0
0,0,0,0,25,4.13,40,4.17,0,0.49,40,43,1.2,0,0,0,0,25,1.67,50,4.7,0,2.36,33,0,3.5,1
0,0,0,0,25,1.67,50,4.7,0,2.36,33,0,3.5,0,0,0,0,25,4.13,40,4.17,0,0.49,40,43,1.2,0
0,0,0,0,25,5.66,50,4.94,0,0.48,15,40,0.5,0,0,0,0,25,4.83,48,6.53,0,0.0,0,64,0.0,1
0,0,0,0,25,4.83,48,6.53,0,0.0,0,64,0.0,0,0,0,0,25,5.66,50,4.94,0,0.48,15,40,0.5,0
0,0,0,0,25,4.59,58,2.65,0,0.24,25,70,0.1,0,0,0,0,25,4.42,50,4.94,0,1.68,37,73,0.1,1
0,0,0,0,25,4.42,50,4.94,0,1.68,37,73,0.1,0,0,0,0,25,4.59,58,2.65,0,0.24,25,70,0.1,0
0,0,0,0,25,4.7,46,4.15,0,1.56,36,71,1.6,0,0,0,0,25,2.82,32,5.12,0,1.74,43,75,0.0,1
0,0,0,0,25,2.82,32,5.12,0,1.74,43,75,0.0,0,0,0,0,25,4.7,46,4.15,0,1.56,36,71,1.6,0
0,0,0,0,25,5.82,61,6.27,0,0.0,0,100,0.0,0,0,0,0,25,5.3,46,4.14,0,0.89,28,47,0.7,1
0,0,0,0,25,5.3,46,4.14,0,0.89,28,47,0.7,0,0,0,0,25,5.82,61,6.27,0,0.0,0,100,0.0,0
0,0,0,0,25,2.68,53,1.43,0,2.22,37,0,4.8,0,0,0,0,25,2.74,40,2.5,0,0.75,33,35,1.7,1
0,0,0,0,25,2.74,40,2.5,0,0.75,33,35,1.7,0,0,0,0,25,2.68,53,1.43,0,2.22,37,0,4.8,0
0,0,0,0,25,3.12,42,4.3,0,1.11,26,80,0.0,0,0,0,0,25,4.56,49,6.44,0,0.0,0,71,0.0,1
0,0,0,0,25,4.56,49,6.44,0,0.0,0,71,0.0,0,0,0,0,25,3.12,42,4.3,0,1.11,26,80,0.0,0
0,0,0,0,25,4.62,53,3.2,0,1.31,41,61,0.6,0,0,0,0,25,3.55,45,4.44,0,0.87,60,28,0.0,1
0,0,0,0,25,3.55,45,4.44,0,0.87,60,28,0.0,0,0,0,0,25,4.62,53,3.2,0,1.31,41,61,0.6,0
0,0,0,0,25,6.18,56,3.36,0,1.67,34,70,0.2,0,0,0,0,25,3.7,47,4.76,0,0.35,40,67,1.9,1
0,0,0,0,25,3.7,47,4.76,0,0.35,40,67,1.9,0,0,0,0,25,6.18,56,3.36,0,1.67,34,70,0.2,0
0,0,0,0,25,5.19,53,3.14,0,0.96,28,50,1.7,0,0,0,0,25,4.04,49,4.52,0,1.96,41,61,0.6,1
0,0,0,0,25,4.04,49,4.52,0,1.96,41,61,0.6,0,0,0,0,25,5.19,53,3.14,0,0.96,28,50,1.7,0
0,0,0,0,25,4.65,46,3.78,0,0.71,29,59,0.6,0,0,0,0,25,2.45,40,4.48,0,0.69,20,88,0.7,1
0,0,0,0,25,2.45,40,4.48,0,0.69,20,88,0.7,0,0,0,0,25,4.65,46,3.78,0,0.71,29,59,0.6,0
0,0,0,0,25,4.87,52,4.13,0,0.6,50,86,0.9,0,0,0,0,25,2.44,59,1.64,0,3.27,36,33,1.3,1
0,0,0,0,25,2.44,59,1.64,0,3.27,36,33,1.3,0,0,0,0,25,4.87,52,4.13,0,0.6,50,86,0.9,0
0,0,0,0,25,5.58,54,3.54,0,0.31,28,82,0.3,0,0,0,0,25,4.33,54,2.49,0,2.24,38,53,1.4,1
0,0,0,0,25,4.33,54,2.49,0,2.24,38,53,1.4,0,0,0,0,25,5.58,54,3.54,0,0.31,28,82,0.3,0
0,0,0,0,25,3.67,45,3.55,0,0.94,25,58,0.2,0,0,0,0,25,5.57,46,4.18,0,0.58,55,84,0.3,1
0,0,0,0,25,5.57,46,4.18,0,0.58,55,84,0.3,0,0,0,0,25,3.67,45,3.55,0,0.94,25,58,0.2,0
0,0,0,0,25,1.97,38,2.55,0,2.37,33,73,1.8,0,0,0,0,25,4.69,45,3.23,0,0.84,73,64,0.0,1
0,0,0,0,25,4.69,45,3.23,0,0.84,73,64,0.0,0,0,0,0,25,1.97,38,2.55,0,2.37,33,73,1.8,0
0,0,0,0,25,4.53,51,2.96,0,2.59,34,55,2.2,0,0,0,0,25,2.92,42,3.44,0,1.5,45,48,1.7,1
0,0,0,0,25,2.92,42,3.44,0,1.5,45,48,1.7,0,0,0,0,25,4.53,51,2.96,0,2.59,34,55,2.2,0
0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,0,0,0,0,25,3.4,38,3.34,0,2.87,34,56,1.1,1
0,0,0,0,25,3.4,38,3.34,0,2.87,34,56,1.1,0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,0
0,0,0,0,25,5.27,51,4.51,0,1.05,43,48,0.0,0,0,0,0,25,2.1,45,2.5,0,1.25,35,40,0.2,1
0,0,0,0,25,2.1,45,2.5,0,1.25,35,40,0.2,0,0,0,0,25,5.27,51,4.51,0,1.05,43,48,0.0,0
0,0,0,0,25,4.4,51,2.63,0,0.18,25,67,0.7,0,0,0,0,25,1.62,33,3.2,0,3.54,37,50,0.0,1
0,0,0,0,25,1.62,33,3.2,0,3.54,37,50,0.0,0,0,0,0,25,4.4,51,2.63,0,0.18,25,67,0.7,0
0,0,0,0,25,7.54,60,2.53,0,0.88,20,0,0.4,0,0,0,0,25,2.77,46,8.16,0,2.62,75,83,1.3,1
0,0,0,0,25,2.77,46,8.16,0,2.62,75,83,1.3,0,0,0,0,25,7.54,60,2.53,0,0.88,20,0,0.4,0
0,0,0,0,25,3.07,54,1.91,0,0.33,11,50,0.3,0,0,0,0,25,2.5,42,2.79,0,1.63,36,80,0.0,1
0,0,0,0,25,2.5,42,2.79,0,1.63,36,80,0.0,0,0,0,0,25,3.07,54,1.91,0,0.33,11,50,0.3,0
0,0,0,0,25,4.53,54,2.48,0,1.45,54,52,0.5,0,0,0,0,25,3.75,35,4.46,0,1.09,37,46,0.1,1
0,0,0,0,25,3.75,35,4.46,0,1.09,37,46,0.1,0,0,0,0,25,4.53,54,2.48,0,1.45,54,52,0.5,0
0,0,0,0,25,1.87,62,1.22,0,3.98,48,50,1.8,0,0,0,0,25,2.48,50,2.49,0,2.49,68,56,1.0,1
0,0,0,0,25,2.48,50,2.49,0,2.49,68,56,1.0,0,0,0,0,25,1.87,62,1.22,0,3.98,48,50,1.8,0
0,0,0,0,25,4.92,67,2.35,0,3.27,33,37,0.4,0,0,0,0,25,1.91,38,3.46,0,2.29,66,64,0.8,1
0,0,0,0,25,1.91,38,3.46,0,2.29,66,64,0.8,0,0,0,0,25,4.92,67,2.35,0,3.27,33,37,0.4,0
0,0,0,0,25,3.42,43,3.28,0,0.71,26,81,0.0,0,0,0,0,25,3.05,45,3.43,0,1.86,31,42,1.4,1
0,0,0,0,25,3.05,45,3.43,0,1.86,31,42,1.4,0,0,0,0,25,3.42,43,3.28,0,0.71,26,81,0.0,0
0,0,0,0,25,3.2,40,3.82,0,1.11,28,65,0.6,0,0,0,0,25,5.34,48,3.74,0,0.68,16,50,0.0,1
0,0,0,0,25,5.34,48,3.74,0,0.68,16,50,0.0,0,0,0,0,25,3.2,40,3.82,0,1.11,28,65,0.6,0
0,0,0,0,25,1.77,68,1.74,0,9.31,60,0,1.1,0,0,0,0,25,1.1,58,2.11,0,0.0,0,55,1.4,1
0,0,0,0,25,1.1,58,2.11,0,0.0,0,55,1.4,0,0,0,0,25,1.77,68,1.74,0,9.31,60,0,1.1,0
0,0,0,0,25,2.35,50,2.73,0,1.93,33,42,2.3,0,0,0,0,25,6.45,41,6.55,0,0.86,62,64,0.0,1
0,0,0,0,25,6.45,41,6.55,0,0.86,62,64,0.0,0,0,0,0,25,2.35,50,2.73,0,1.93,33,42,2.3,0
0,0,0,0,25,5.16,44,7.92,0,0.0,0,41,0.0,0,0,0,0,25,6.3,40,6.67,0,0.0,0,60,0.0,1
0,0,0,0,25,6.3,40,6.67,0,0.0,0,60,0.0,0,0,0,0,25,5.16,44,7.92,0,0.0,0,41,0.0,0
0,0,0,0,25,3.87,56,2.47,0,2.03,51,73,0.1,0,0,0,0,25,4.28,47,4.07,0,0.0,0,47,0.0,1
0,0,0,0,25,4.28,47,4.07,0,0.0,0,47,0.0,0,0,0,0,25,3.87,56,2.47,0,2.03,51,73,0.1,0
0,0,0,0,25,7.17,53,5.19,0,1.04,42,81,0.3,0,0,0,0,25,3.21,48,3.39,0,2.73,25,66,0.0,1
0,0,0,0,25,3.21,48,3.39,0,2.73,25,66,0.0,0,0,0,0,25,7.17,53,5.19,0,1.04,42,81,0.3,0
0,0,0,0,25,4.67,53,5.0,0,0.17,20,100,0.2,0,0,0,0,25,2.4,25,3.87,0,0.0,0,100,0.0,1
